Year	Law	STEM	Government
2004-01	48	16	16
2004-02	31	0	47
2004-03	50	0	30
2004-04	22	15	22
2004-05	14	27	14
2004-06	14	14	28
2004-07	22	0	29
2004-08	33	0	13
2004-09	12	0	25
2004-10	51	0	19
2004-11	46	0	20
2004-12	35	0	12
2005-01	15	10	10
2005-02	33	16	27
2005-03	23	19	19
2005-04	10	21	16
2005-05	14	0	23
2005-06	29	0	19
2005-07	24	14	10
2005-08	22	0	9
2005-09	8	8	17
2005-10	27	8	8
2005-11	48	0	40
2005-12	15	8	19
2006-01	13	7	7
2006-02	46	14	14
2006-03	37	6	37
2006-04	23	26	33
2006-05	18	18	15
2006-06	23	7	13
2006-07	22	0	10
2006-08	17	0	9
2006-09	20	0	17
2006-10	26	5	21
2006-11	26	8	18
2006-12	13	5	5
2007-01	33	5	17
2007-02	27	5	75
2007-03	22	4	18
2007-04	20	5	20
2007-05	18	6	16
2007-06	4	4	13
2007-07	15	0	6
2007-08	10	0	18
2007-09	16	6	12
2007-10	19	7	16
2007-11	25	9	16
2007-12	9	4	9
2008-01	10	6	16
2008-02	25	3	8
2008-03	23	5	16
2008-04	14	11	18
2008-05	19	3	11
2008-06	20	9	5
2008-07	11	3	8
2008-08	10	5	6
2008-09	18	3	9
2008-10	23	5	19
2008-11	17	6	14
2008-12	13	6	6
2009-01	16	8	9
2009-02	12	3	15
2009-03	13	4	5
2009-04	19	5	15
2009-05	14	4	12
2009-06	14	6	8
2009-07	14	3	8
2009-08	12	3	4
2009-09	14	4	8
2009-10	20	4	10
2009-11	13	5	8
2009-12	20	2	5
2010-01	11	6	6
2010-02	13	0	7
2010-03	15	7	10
2010-04	15	8	8
2010-05	18	8	11
2010-06	12	14	2
2010-07	8	4	3
2010-08	10	4	2
2010-09	14	2	9
2010-10	9	6	5
2010-11	19	6	7
2010-12	12	7	10
2011-01	8	3	7
2011-02	13	6	6
2011-03	12	7	7
2011-04	15	10	9
2011-05	7	7	4
2011-06	11	3	7
2011-07	12	3	10
2011-08	8	5	4
2011-09	12	5	6
2011-10	8	5	11
2011-11	10	8	5
2011-12	12	7	4
2012-01	9	7	9
2012-02	13	11	7
2012-03	16	12	9
2012-04	16	9	8
2012-05	11	6	9
2012-06	8	11	5
2012-07	6	10	4
2012-08	9	9	5
2012-09	15	13	5
2012-10	8	10	6
2012-11	10	9	8
2012-12	8	12	3
2013-01	9	8	5
2013-02	10	17	8
2013-03	16	26	7
2013-04	15	15	9
2013-05	8	10	8
2013-06	8	9	4
2013-07	8	17	5
2013-08	8	12	4
2013-09	7	13	5
2013-10	6	23	3
2013-11	10	19	6
2013-12	8	19	3
2014-01	10	18	7
2014-02	11	20	3
2014-03	16	26	7
2014-04	12	29	7
2014-05	10	23	7
2014-06	8	28	5
2014-07	4	20	3
2014-08	10	20	3
2014-09	12	30	5
2014-10	11	35	5
2014-11	11	35	8
2014-12	10	25	8
2015-01	11	25	6
2015-02	8	30	5
2015-03	16	38	7
2015-04	10	46	7
2015-05	9	27	8
2015-06	8	28	4
2015-07	6	24	6
2015-08	8	20	4
2015-09	8	31	5
2015-10	11	48	7
2015-11	9	44	6
2015-12	10	39	4
2016-01	9	30	5
2016-02	10	50	8
2016-03	13	53	8
2016-04	15	57	7
2016-05	10	27	7
2016-06	14	27	3
2016-07	10	27	3
2016-08	10	24	4
2016-09	12	33	5
2016-10	10	44	4
2016-11	8	52	9
2016-12	7	34	3
2017-01	7	39	4
2017-02	15	67	7
2017-03	16	100	5
2017-04	14	64	5
2017-05	7	51	4
2017-06	6	38	2
2017-07	7	35	2
2017-08	5	47	6
2017-09	10	45	3
2017-10	14	52	5
2017-11	8	62	5
2017-12	6	45	3
2018-01	8	53	6
2018-02	12	65	4
2018-03	12	75	5
2018-04	8	67	5
2018-05	11	41	2
2018-06	8	35	3
2018-07	9	42	1
2018-08	7	32	2
2018-09	10	48	4
2018-10	12	61	5
2018-11	7	49	6
2018-12	8	39	2
2019-01	12	46	4
2019-02	17	56	4
2019-03	13	77	4
